rank,age,player_name,gamertag,num_frst,num_scnd,num_thrd,num_top3,earnings,earnings_per_top3,log_earnings,is_outlier
1464,25,,Goku,0,1,0,1,1490,1490,7.307202314764738,False
1465,22,Patrick,Amp,3,3,1,7,1487,212,7.305188215393037,False
1466,28,Alejandro Lora,aLex,1,0,4,5,1486,297,7.304515946460155,False
1467,22,Kang Yeong-one,Sagem,0,0,0,0,1485,0,7.303843225277705,False
1468,25,,Toasung,0,0,0,0,1479,0,7.299797366758161,False
1469,25,,Lurifax,1,2,0,3,1474,491,7.29641326877392,False
1470,25,Konstantin Volegov,Frey,0,1,1,2,1474,737,7.29641326877392,False
1471,19,Cheon Ju-yeong,Dukmani,1,0,0,1,1474,1474,7.29641326877392,False
1472,25,Min Jin-hong,Hanna,1,0,0,1,1474,1474,7.29641326877392,False
1473,27,Lee Hyun-min,LHM344,2,0,2,4,1473,368,7.295735072749282,False
1474,26,Masashi Miyamoto,Siru,0,0,0,0,1469,0,7.293017679772782,False
1475,25,,HaToo,0,0,0,0,1463,0,7.288927694521257,False
1476,25,,Atharva,0,0,0,0,1452,0,7.2813856635702825,False
1477,25,,Cerberus,0,1,1,2,1450,725,7.280008252884188,False
1478,27,Marco Varas,MXKX,3,1,1,5,1450,290,7.280008252884188,False
1479,27,Jordan Lee Rolph,Rolphy,1,0,0,1,1446,1446,7.277247726631484,False
1480,25,,Flanked,1,0,0,1,1446,1446,7.277247726631484,False
1481,25,Ellis Hindle,GiG,1,0,0,1,1445,1445,7.27655640271871,False
1482,22,Nicholas Naselsky,Space,5,3,2,10,1443,144,7.275172319452771,False
1483,25,,JPM,5,2,1,8,1439,180,7.272398392570047,False
1484,25,,Hansen,0,1,6,7,1437,205,7.271008538280992,False
1485,25,,EL1TE,1,0,2,3,1432,477,7.267525427828172,False
1486,25,,Enigma,0,0,1,1,1430,1430,7.266128779556451,False
1487,25,,Alloy,0,1,0,1,1429,1429,7.265429723253953,False
1488,23,Kristóf Szokolyai,Falcon,4,3,0,7,1421,203,7.259819610363186,False
1489,23,Márk Hodut,Hodka,4,3,0,7,1421,203,7.259819610363186,False
1490,31,Daniil Savostin,Johnny,1,1,0,2,1415,708,7.255591274253665,False
1491,27,Uday Raj Jain,Skipper,3,1,3,7,1406,201,7.249215057114389,False
1492,25,,Sinstar,2,2,0,4,1401,350,7.2456550675945355,False
1493,30,Iván Iturra,El barto,0,0,1,1,1400,1400,7.244941546337007,False
1494,25,,Pox,1,1,1,3,1394,465,7.240649694255466,False
1495,25,,Bombii,15,3,0,18,1391,77,7.238496840894365,False
1496,24,Jack,Jack,0,1,1,2,1389,694,7.237059026124737,False
1497,25,,BmH,1,1,0,2,1387,694,7.23561914106675,False
1498,25,,Exile,3,1,2,6,1384,231,7.233455418621439,False
1499,26,Firat Hisan,Levolution,3,1,0,4,1383,346,7.232733136177615,False
1500,24,,Fire,2,1,1,4,1376,344,7.227662498728654,False
1501,25,,AngMoh,0,1,0,1,1376,1376,7.227662498728654,False
1502,25,,Anon,5,2,1,8,1373,172,7.2254814727822945,False
1503,25,,sKi1Lr,1,0,1,2,1371,686,7.22402480828583,False
1504,25,,HazeldorF,0,0,1,1,1367,1367,7.221105098182496,False
1505,25,,afla,8,8,4,20,1366,68,7.220373836723949,False
1506,25,,Drake,0,0,1,1,1366,1366,7.220373836723949,False
1507,25,,Rafaa,14,4,0,18,1363,76,7.218176838403408,False
1508,25,,TOOMI,0,1,0,1,1363,1363,7.218176838403408,False
1509,24,Juan Pablo Valdivia,JU4MP4,1,0,1,2,1362,681,7.217443431696533,False
1510,21,Kim Ha-kyoung,BlessXD,0,0,0,0,1361,0,7.216709486709457,False
1511,25,,Kakitare,2,1,1,4,1361,340,7.216709486709457,False
1512,20,Ryoo Hyun-woo,SprLuCA,0,0,0,0,1361,0,7.216709486709457,False
1513,27,Shuya Abe,tetra,0,0,0,0,1356,0,7.213031659834869,False
1514,25,,DZz,0,0,1,1,1354,1354,7.2115567333138015,False
1515,25,,InfinityG7,11,0,0,11,1353,123,7.21081845347222,False
1516,25,,DuckDuk,6,3,2,11,1342,122,7.202661196523238,False
1517,25,,Benjaacos,0,1,0,1,1341,1341,7.201916317531627,False
1518,25,,dzn7,0,1,0,1,1341,1341,7.201916317531627,False
1519,20,Denny McDonald,Den,3,5,0,8,1339,167,7.200424892944957,False
1520,25,,ILuMii,2,2,1,5,1336,267,7.198183577101943,False
1521,25,,Lucania,1,5,2,8,1335,167,7.197435354096591,False
1522,25,,Qcxie,0,0,0,0,1335,0,7.197435354096591,False
1523,25,,Dirty,0,0,0,0,1335,0,7.197435354096591,False
1524,25,,Matugo,0,0,0,0,1333,0,7.195937226475569,False
1525,25,,Gioo,0,0,0,0,1330,0,7.193685818395112,False
1526,19,Ilan,Gxldinho,6,3,4,13,1329,102,7.1929342212158,False
1527,25,Chatchai Pinpokbut,xCerlotic,0,0,2,2,1327,664,7.191429330036379,False
1528,21,David Caprio,Sorry,0,0,1,1,1325,1325,7.189922170745808,False
1529,25,,garren,2,3,2,7,1319,188,7.1853870155804165,False
1530,22,Ignacio Passerini,kRMz,1,0,1,2,1311,656,7.179307969504034,False
1531,25,,Smacka,1,2,1,4,1310,328,7.1785454837637,False
1532,25,,Tilarian,1,1,0,2,1309,654,7.177782416195197,False
1533,23,Lautaro Antoño Jurovich,Lautixs,0,0,0,0,1308,0,7.1770187659099,False
1534,26,,h4su,0,0,0,0,1305,0,7.174724309836376,False
1535,21,Leon Jüttner,Juett,7,8,4,19,1299,68,7.170119543449628,False
1536,25,,NotBoku,0,0,0,0,1286,0,7.160069207596127,False
1537,25,,Jnosky,3,2,2,7,1285,184,7.1592919047975645,False
1538,25,,Jcz,0,0,2,2,1280,640,7.155396301896734,False
1539,24,Avisek Mallick,AviM,1,2,4,7,1277,182,7.15305163493748,False
1540,21,Domantas,d0mantas,0,4,0,4,1277,319,7.15305163493748,False
1541,25,,Craxan,3,1,2,6,1274,212,7.150701457592526,False
1542,25,,MaeQ,1,1,1,3,1272,424,7.149131598557407,False
1543,25,,Nfty,1,0,1,2,1267,634,7.145196134997171,False
1544,25,,Darklord,0,0,3,3,1266,422,7.144407180321139,False
1545,25,,Gili,4,3,0,7,1263,180,7.142036574706803,False
1546,21,Alejandro Garcia,Sneak,2,4,0,6,1263,210,7.142036574706803,False
1547,25,,JoT4,1,0,3,4,1263,316,7.142036574706803,False
1548,25,,Nexuiz,1,1,2,4,1259,315,7.138866999945524,False
1549,32,Marcos Vinícios,Dryx,1,0,0,1,1259,1259,7.138866999945524,False
1550,22,Jan Małczyński,Malczyn,2,2,1,5,1257,251,7.1372784372603855,False
1551,25,Yaroslav Kurzin,FMX,0,0,0,0,1254,0,7.134890851565884,False
1552,25,Carlos Estrada,Obi,1,1,0,2,1253,626,7.134093721192866,False
1553,25,,Mugi,1,1,0,2,1253,626,7.134093721192866,False
1554,28,Aman Vivek,Cruzi,3,1,2,6,1252,209,7.133295954896068,False
1555,25,,Squall K,0,0,1,1,1250,1250,7.1316985104669115,False
1556,25,,Fidd,0,0,1,1,1250,1250,7.1316985104669115,False
1557,25,,Emotion,0,0,1,1,1250,1250,7.1316985104669115,False
