#,age,Name,Player,Achievements,Unnamed: 3,Unnamed: 4,Unnamed: 5,Earnings
82,23.0,Lucas Dias,DiasLucasBr,,3,6,4,"$182,553"
83,22.0,Arthur Oliveira,GMZ,,2,6,4,"$181,594"
84,26.0,Richard Coronado,Rexen,,8,5,5,"$180,512"
85,22.0,Evan Nelson,Yoggah,,4,2,4,"$177,819"
86,24.0,Pablo Rebeil,Gryxr,,9,3,5,"$175,286"
87,26.0,Eugene Petrishin,karzheka,,10,3,4,"$170,735"
88,22.0,Jack Burkard,J9O,,4,2,2,"$169,704"
89,25.0,Roman Breaux,Forrest,,6,3,3,"$168,174"
90,23.0,Nathan Sharp,Nafe,,5,2,6,"$166,431"
91,,,Q6z.,,6,8,1,"$164,475"
92,23.0,Zachary Dionne,SpiriTz,,6,3,2,"$163,236"
93,,,Joker619,,8,7,4,"$161,417"
94,26.0,Takuma Nakajima,SuzuC,,9,9,5,"$155,916"
95,26.0,Mitch Malson,Dream,,5,4,4,"$150,175"
96,25.0,Leon Giddens,LeonGids,,7,4,5,"$145,625"
97,23.0,Pavel Kosenko,p4sh4,,3,3,9,"$144,873"
98,24.0,Denis Navas,Dodez,,2,1,5,"$140,641"
99,23.0,Taiyo Hirayama,Ayagator,,7,6,4,"$132,997"
100,32.0,Valentin Liradelfo,risze,,13,3,9,"$132,462"
101,28.0,Bastien Dulac,BiBoo,,7,10,8,"$132,264"
102,23.0,Gaven Black,Gaveni,,4,1,3,"$131,963"
103,28.0,Maurice Erkelenz,AceeZ,,9,3,3,"$130,306"
104,22.0,Gabriel Santos,AsK,,4,4,6,"$130,277"
105,,,Madskills,,7,6,0,"$129,067"
106,22.0,Gabriel Araujo Maia,Maia,,3,4,4,"$126,497"
107,,,Hashom,,14,9,1,"$125,618"
108,32.0,Kim Seong-soo,EnvyTaylor,,26,7,6,"$123,006"
109,20.0,Shaun Pottorff,Gunnar,,10,5,6,"$122,656"
110,21.0,Ethan James,Nuers,,2,2,3,"$121,933"
111,25.0,Kaique Stephano Moreira,Faallz,,1,2,7,"$121,183"
112,25.0,Tassus Scarinci Buchabqui Issi,reduct,,1,2,7,"$120,780"
113,24.0,Hideki Nishida,gatorada,,9,7,5,"$120,753"
114,24.0,Luca Ribeiro Sereno,LuKid,,2,2,5,"$120,536"
115,31.0,Pascal Alouane,cryn,,7,1,2,"$120,037"
116,29.0,Ahmet Hasan,SRSLy,,11,6,1,"$117,905"
117,26.0,Mohammed Alghamdi,MSSS,,4,6,1,"$117,690"
118,24.0,Patrick Fan,MentalistC,,2,3,3,"$116,795"
119,29.0,Yoo Sang-hoon,yass,,10,8,10,"$116,721"
120,24.0,Nicolas Rimbaud,P4,,5,3,6,"$113,467"
121,,,Rappz,,2,2,6,"$112,140"
122,28.0,Leon Pesić,neLo,,8,3,5,"$110,439"
123,,,Caneo,,1,4,3,"$109,579"
124,25.0,Aaron Dugger,Shuttle,,7,3,1,"$108,740"
125,30.0,Lee Si-hun,Nova,,21,9,6,"$108,261"
126,22.0,Park Jin-wook,Woogiman,,12,6,6,"$105,694"
127,23.0,Jo Sung-jun,coted,,11,6,6,"$105,641"
128,31.0,Kyle Lander,Mint,,3,3,7,"$105,150"
129,26.0,Axel Freisberg,Shiinka,,5,2,7,"$104,364"
130,,,X.Ke,,12,8,1,"$104,285"
131,22.0,Yanis Dahmani,Mowwwgli,,6,1,5,"$101,716"
132,26.0,Han Chan-yong,Static,,24,6,6,"$101,651"
133,25.0,Lukas Zwingmann,korey,,8,7,1,"$101,290"
134,23.0,Taiyo Kitano,Taiyou,,12,1,4,"$100,893"
135,28.0,Artyom Simakov,Shockwave,,9,5,5,"$100,646"
